option_symbol,symbol,right,strike,expiration,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega,rho,snapshot_ts,snapshot_label,run_id,source,mid,dte,adelta,dist
AAPL250829C00235000,AAPL,C,235.0,2025-08-29,0.65,0.68,0.65,26465,33308,0.305892,0.1875452260696017,0.04146269852008737,-0.2710106695942865,0.05459196554629149,0.0032113928199228943,2025-08-26T23:21:19.548105+00:00,S4,20250826232119,tradier_4x,0.665,3,0.1875452260696017,0.012454773930398316
AAPL250829C00237500,AAPL,C,237.5,2025-08-29,0.3,0.32,0.32,13793,12916,0.302338,0.10639617041794525,0.027044590580538437,-0.18555556237892487,0.034895759031680074,0.0018015561461678117,2025-08-26T23:21:19.548105+00:00,S4,20250826232119,tradier_4x,0.31,3,0.10639617041794525,0.09360382958205477
AAPL250829C00232500,AAPL,C,232.5,2025-08-29,1.29,1.35,1.34,16998,16195,0.307933,0.3064429797036953,0.05686219355390594,-0.35274425785826485,0.07270236826910566,0.005308241879401635,2025-08-26T23:21:19.548105+00:00,S4,20250826232119,tradier_4x,1.32,3,0.3064429797036953,0.10644297970369526
AAPL250829P00222500,AAPL,P,222.5,2025-08-29,0.58,0.61,0.59,15990,9478,0.339082,-0.1667380362028704,0.035838126859428346,-0.35019777979916783,0.05633253917844511,0.014859410054128186,2025-08-26T23:21:19.548105+00:00,S4,20250826232119,tradier_4x,0.595,3,0.1667380362028704,0.03326196379712962
AAPL250829P00225000,AAPL,P,225.0,2025-08-29,1.0,1.03,1.02,28641,13620,0.322469,-0.2469929739868717,0.04991322218460296,-0.38701413069028534,0.07002353470086847,0.013432129854185576,2025-08-26T23:21:19.548105+00:00,S4,20250826232119,tradier_4x,1.0150000000000001,3,0.2469929739868717,0.04699297398687169
AAPL250829P00220000,AAPL,P,220.0,2025-08-29,0.35,0.37,0.36,12236,44381,0.365266,-0.1154546945531787,0.025387483295987275,-0.30860449392517547,0.04146136964016933,0.01570614312058049,2025-08-26T23:21:19.548105+00:00,S4,20250826232119,tradier_4x,0.36,3,0.1154546945531787,0.08454530544682132
ABNB250829C00131000,ABNB,C,131.0,2025-08-29,0.21,0.23,0.2,261,512,0.30739,0.18064132226629914,0.058142169117573736,-0.1850940694758531,0.029579084907637117,0.0016594189730200126,2025-08-26T23:21:20.447493+00:00,S4,20250826232119,tradier_4x,0.22,3,0.18064132226629914,0.01935867773370087
ABNB250829C00130000,ABNB,C,130.0,2025-08-29,0.35,0.38,0.36,180,754,0.300242,0.2378202867380463,0.0708957703198426,-0.2123167962573312,0.03494654427960557,0.002170823160765944,2025-08-26T23:21:20.447493+00:00,S4,20250826232119,tradier_4x,0.365,3,0.2378202867380463,0.0378202867380463
ABNB250829C00132000,ABNB,C,132.0,2025-08-29,0.12,0.17,0.13,237,2994,0.311507,0.13620920887467247,0.04658453844938535,-0.15791153187924503,0.02405979095479038,0.0012577322490940968,2025-08-26T23:21:20.447493+00:00,S4,20250826232119,tradier_4x,0.14500000000000002,3,0.13620920887467247,0.06379079112532754
ABNB250829P00124000,ABNB,P,124.0,2025-08-29,0.39,0.45,0.44,125,92,0.309808,-0.1983577083066856,0.08424661153930281,-0.16034056255526224,0.034341918694153095,0.006074131753961012,2025-08-26T23:21:20.447493+00:00,S4,20250826232119,tradier_4x,0.42000000000000004,3,0.1983577083066856,0.0016422916933144238
